Date,Station,Latitude,Longitude,Elevation,Date,Average Wind Speed,Time of Fastest Wind,Peak Gust Time,Average Temperature,Maximum Temperature,Minimum Temperature,Direction Fastest 2-Minute Wind,Direction Fastest 5-Minute Wind,Fastest 2-Minute Wind Speed,Fastest 2-Minute Wind Speed,"Fog, Ice, Freezing Fog",Heavy Fog or Heavy Freezing Fog,Thunder,"Ice Pellets, Sleet or Small Hail",Hail,Glaze or Rime,"Dust, Volcanic Ash or Blowing Dust",Smoke or Haze,Blowing or Drifting Snow,High or Damaging Winds,Mist,Drizzle,Freezing Drizzle,Rain,Freezing Rain,"Snow, Snow Pellets or Ice Crystals",Unknown Precipitation,Ground Fog,Ice fog or Freezing Fog
39,USW00094846,41.96017,-87.93164,204.8,2010-02-09,10.74,1948.0,1947.0,,28.0,23.0,10.0,10.0,21.0,25.9,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0
40,USW00094846,41.96017,-87.93164,204.8,2010-02-10,14.54,834.0,441.0,,26.0,17.0,330.0,330.0,25.1,33.1,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,
41,USW00094846,41.96017,-87.93164,204.8,2010-02-11,5.82,1620.0,1622.0,,30.0,10.0,350.0,10.0,12.1,16.1,,,,,,,,,,,,,,,,,,,
42,USW00094846,41.96017,-87.93164,204.8,2010-02-12,4.7,1528.0,1642.0,,32.0,10.0,360.0,40.0,8.9,17.9,,,,,,,,1.0,,,,,,,,,,,
43,USW00094846,41.96017,-87.93164,204.8,2010-02-13,7.16,1335.0,1335.0,,30.0,11.0,310.0,310.0,15.0,17.9,,,,,,,,,,,,,,,,,,,
44,USW00094846,41.96017,-87.93164,204.8,2010-02-14,5.59,1412.0,1341.0,,29.0,9.0,290.0,270.0,12.1,15.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,
45,USW00094846,41.96017,-87.93164,204.8,2010-02-15,8.5,1228.0,2156.0,,28.0,6.0,310.0,300.0,16.1,17.9,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,
46,USW00094846,41.96017,-87.93164,204.8,2010-02-16,11.86,815.0,813.0,,32.0,25.0,320.0,320.0,21.0,25.9,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,
47,USW00094846,41.96017,-87.93164,204.8,2010-02-17,10.29,1513.0,1513.0,,32.0,26.0,310.0,310.0,16.1,19.9,,,,,,,,,,,,,,,,,,,
48,USW00094846,41.96017,-87.93164,204.8,2010-02-18,7.16,1513.0,1417.0,,39.0,25.0,280.0,300.0,15.0,19.9,,,,,,,,,,,,,,,,,,,
