"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094846","41.96017","-87.93164","204.8","2010-04-06","8.72"," 1535"," 1602",,"76","47","  220","  230","25.1","31.1","    1",,"    1",,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-07","11.41"," 1744"," 1743",,"49","37","   20","   20","23.9","28.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-08","11.63"," 0723"," 1451",,"40","34","  310","  350","21.9","29.1","    1",,,,"    1",,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-09","7.61"," 1220"," 1219",,"56","30","  280","  290","16.1","21.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-10","11.41"," 1239"," 1221",,"74","38","  220","  210","25.9","34.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-11","8.05"," 1416"," 1245",,"63","44","   70","   60","15.0","25.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-12","11.41"," 2313"," 1955",,"70","44","  100","   50","19.9","28.0",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-13","12.08"," 2212"," 1250",,"63","48","  120","   70","17.9","28.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-14","8.50"," 1750"," 1439",,"80","46","  110","  160","17.0","21.9",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-15","12.75"," 1531"," 1015",,"82","61","  240","  250","23.9","33.1",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-16","12.97"," 1617"," 1409",,"68","39","  330","  320","25.1","34.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-17","11.41"," 1343"," 1403",,"59","37","  320","  330","25.1","31.1",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-18","8.50"," 1646"," 1216",,"52","36","   40","   50","16.1","32.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-19","6.26"," 1629"," 1547",,"56","35","   50","   40","14.1","25.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-20","3.80"," 1354"," 1428",,"64","38","   70","   60","14.1","23.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-21","10.51"," 2047"," 1338",,"62","41","   40","   50","21.0","29.1",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-22","7.16"," 1736"," 2156",,"60","38","   70","   50","13.0","23.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-23","7.83"," 2358"," 2358",,"63","41","  110","  110","19.9","23.9","    1",,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-24","12.08"," 2053"," 2053",,"60","51","  100","   90","25.9","31.1","    1",,,,"    1",,,"    1",,,"    1","    1",,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-25","13.42"," 1552"," 1545",,"60","47","   30","   40","23.0","30.0","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-26","14.76"," 2258"," 1157",,"63","47","   20","   40","21.9","36.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-27","12.08"," 0734"," 1005",,"51","37","   40","   40","23.0","31.1",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-28","4.70"," 1744"," 1829",,"64","33","  100","   80","16.1","21.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-29","18.34"," 1532"," 1538",,"79","46","  180","  190","36.9","49.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-04-30","18.12"," 1720"," 1722",,"81","62","  190","  190","31.1","38.9","    1",,"    1",,"    1",,,"    1",,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-01","9.40"," 1520"," 1520",,"70","58","  240","  230","19.9","25.1","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-02","6.04"," 2221"," 2220",,"69","53","  280","  280","16.1","21.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-05-03","9.40"," 1419"," 1606",,"72","50","  230","  290","21.0","30.0",,,,,,,,,,,,,,,,,,,
